MAC;FABRICANTE
00:08:9A;Alcatel
00:0F:62;Alcatel
00:11:3F;Alcatel
00:11:8B;Alcatel
00:15:3F;Alcatel
00:16:4D;Alcatel
00:17:CC;Alcatel
00:19:8F;Alcatel
00:1A:F0;Alcatel
00:1C:8E;Alcatel
00:1D:4C;Alcatel
00:21:AE;Alcatel
00:23:3E;Alcatel
00:25:BA;Alcatel
00:80:9F;Alcatel
00:A0:81;Alcatel
00:C0:BE;Alcatel
00:D0:95;Alcatel
00:E0:B1;Alcatel
00:E0:DA;Alcatel
04:0A:83;Alcatel
0C:A4:02;Alcatel
0C:B5:DE;Alcatel
18:42:2F;Alcatel
18:4A:6F;Alcatel
18:80:F5;Alcatel
24:AF:4A;Alcatel
2C:FA:A2;Alcatel
3C:8B:CD;Alcatel
4C:5F:D2;Alcatel
4C:A7:4B;Alcatel
54:05:5F;Alcatel
54:A6:19;Alcatel
54:E3:F6;Alcatel
68:54:ED;Alcatel
68:59:7F;Alcatel
6C:BE:E9;Alcatel
7C:20:64;Alcatel
84:A7:83;Alcatel
88:5C:47;Alcatel
90:67:B5;Alcatel
90:67:F3;Alcatel
94:AE:61;Alcatel
A0:F3:E4;Alcatel
A8:AD:3D;Alcatel
AC:9C:E4;Alcatel
C8:F8:6D;Alcatel
D0:99:D5;Alcatel
D4:22:4E;Alcatel
DC:08:56;Alcatel
E0:30:05;Alcatel
E4:A1:E6;Alcatel
E8:E7:32;Alcatel
F4:C6:13;Alcatel
F8:30:94;Alcatel
00:0A:27;Apple
00:0A:95;Apple
00:0D:93;Apple
00:10:FA;Apple
00:16:CB;Apple
00:17:F2;Apple
00:1B:63;Apple
00:1C:B3;Apple
00:1D:4F;Apple
00:1E:C2;Apple
00:1F:5B;Apple
00:1F:F3;Apple
00:23:6C;Apple
00:23:DF;Apple
00:25:4B;Apple
00:25:BC;Apple
00:26:4A;Apple
00:26:B0;Apple
00:26:BB;Apple
00:3E:E1;Apple
00:56:CD;Apple
00:61:71;Apple
00:6D:52;Apple
00:80:D6;Apple
00:88:65;Apple
00:A0:40;Apple
00:B3:62;Apple
00:C6:10;Apple
00:CD:FE;Apple
00:F4:B9;Apple
00:F7:6F;Apple
01:E+:52;Apple
04:0C:CE;Apple
04:48:9A;Apple
04:4B:ED;Apple
04:52:F3;Apple
04:69:F8;Apple
04:D3:CF;Apple
04:DB:56;Apple
04:E5:36;Apple
04:F1:3E;Apple
04:F7:E4;Apple
08:66:98;Apple
08:6D:41;Apple
0C:15:39;Apple
0C:30:21;Apple
0C:3E:9F;Apple
0C:4D:E9;Apple
0C:51:01;Apple
0C:74:C2;Apple
0C:77:1A;Apple
0C:BC:9F;Apple
0C:D7:46;Apple
10:1C:0C;Apple
10:40:F3;Apple
10:41:7F;Apple
10:9A:DD;Apple
10:DD:B1;Apple
14:10:9F;Apple
14:5A:05;Apple
14:8F:C6;Apple
14:BD:61;Apple
18:9E:FC;Apple
18:AF:61;Apple
18:AF:8F;Apple
18:E7:F4;Apple
18:EE:69;Apple
18:F6:43;Apple
1C:1A:C0;Apple
1C:5C:F2;Apple
1C:91:48;Apple
1C:9E:46;Apple
1C:AB:A7;Apple
1C:E6:2B;Apple
20:3C:AE;Apple
20:76:8F;Apple
20:78:F0;Apple
20:7D:74;Apple
20:9B:CD;Apple
20:A2:E4;Apple
20:AB:37;Apple
20:C9:D0;Apple
24:1E:EB;Apple
24:24:0E;Apple
24:5B:A7;Apple
24:A0:74;Apple
24:A2:E1;Apple
24:AB:81;Apple
24:E3:14;Apple
24:F0:94;Apple
28:0B:5C;Apple
28:5A:EB;Apple
28:6A:B8;Apple
28:6A:BA;Apple
28:A0:2B;Apple
28:CF:DA;Apple
28:CF:E9;Apple
28:E0:2C;Apple
28:E1:4C;Apple
28:E7:CF;Apple
28:ED:6A;Apple
28:F0:76;Apple
2C:1F:23;Apple
2C:20:0B;Apple
2C:33:61;Apple
2C:B4:3A;Apple
2C:BE:08;Apple
2C:F0:A2;Apple
2C:F0:EE;Apple
30:63:6B;Apple
30:90:AB;Apple
30:F7:C5;Apple
34:15:9E;Apple
34:36:3B;Apple
34:51:C9;Apple
34:A3:95;Apple
34:AB:37;Apple
34:C0:59;Apple
34:E2:FD;Apple
38:0F:4A;Apple
38:48:4C;Apple
38:71:DE;Apple
38:B5:4D;Apple
38:C9:86;Apple
38:CA:DA;Apple
3C:07:54;Apple
3C:15:C2;Apple
3C:AB:8E;Apple
3C:D0:F8;Apple
3C:E0:72;Apple
40:33:1A;Apple
40:3C:FC;Apple
40:4D:7F;Apple
40:6C:8F;Apple
40:A6:D9;Apple
40:B3:95;Apple
40:D3:2D;Apple
44:2A:60;Apple
44:4C:0C;Apple
44:D8:84;Apple
44:FB:42;Apple
48:3B:38;Apple
48:43:7C;Apple
48:4B:AA;Apple
48:60:BC;Apple
48:74:6E;Apple
48:A1:95;Apple
48:BF:6B;Apple
48:D7:05;Apple
48:E9:F1;Apple
4C:32:75;Apple
4C:57:CA;Apple
4C:74:BF;Apple
4C:7C:5F;Apple
4C:8D:79;Apple
4C:B1:99;Apple
50:7A:55;Apple
50:82:D5;Apple
50:EA:D6;Apple
54:72:4F;Apple
54:9F:13;Apple
54:AE:27;Apple
54:E4:3A;Apple
54:EA:A8;Apple
58:1F:AA;Apple
58:40:4E;Apple
58:55:CA;Apple
58:7F:57;Apple
58:B0:35;Apple
5C:59:48;Apple
5C:8D:4E;Apple
5C:95:AE;Apple
5C:96:9D;Apple
5C:97:F3;Apple
5C:AD:CF;Apple
5C:F5:DA;Apple
5C:F7:E6;Apple
5C:F9:38;Apple
60:33:4B;Apple
60:9A:C1;Apple
60:A3:7D;Apple
60:C5:47;Apple
60:D9:C7;Apple
60:F4:45;Apple
60:F8:1D;Apple
60:FA:CD;Apple
60:FB:42;Apple
60:FE:C5;Apple
64:20:0C;Apple
64:76:BA;Apple
64:9A:BE;Apple
64:A3:CB;Apple
64:A5:C3;Apple
64:B0:A6;Apple
64:B9:E8;Apple
64:E6:82;Apple
68:5B:35;Apple
68:64:4B;Apple
68:96:7B;Apple
68:9C:70;Apple
68:A8:6D;Apple
68:AE:20;Apple
68:D9:3C;Apple
68:DB:CA;Apple
68:FB:7E;Apple
6C:19:C0;Apple
6C:3E:6D;Apple
6C:40:08;Apple
6C:70:9F;Apple
6C:72:E7;Apple
6C:8D:C1;Apple
6C:94:F8;Apple
6C:AB:31;Apple
6C:C2:6B;Apple
70:14:A6;Apple
70:3E:AC;Apple
70:48:0F;Apple
70:70:0D;Apple
70:73:CB;Apple
70:81:EB;Apple
70:A2:B3;Apple
70:CD:60;Apple
70:DE:E2;Apple
70:E7:2C;Apple
70:EC:E4;Apple
70:F0:87;Apple
74:1B:B2;Apple
74:8D:08;Apple
74:E1:B6;Apple
74:E2:F5;Apple
78:31:C1;Apple
78:3A:84;Apple
78:4F:43;Apple
78:6C:1C;Apple
78:9F:70;Apple
78:A3:E4;Apple
78:CA:39;Apple
78:D7:5F;Apple
78:FD:94;Apple
7C:01:91;Apple
7C:04:D0;Apple
7C:11:BE;Apple
7C:50:49;Apple
7C:6D:62;Apple
7C:6D:F8;Apple
7C:C3:A1;Apple
7C:C5:37;Apple
7C:D1:C3;Apple
7C:F0:5F;Apple
7C:FA:DF;Apple
80:00:6E;Apple
80:92:9F;Apple
80:BE:05;Apple
80:D6:05;Apple
80:E6:50;Apple
80:EA:96;Apple
80:ED:2C;Apple
84:78:8B;Apple
84:89:AD;Apple
84:8E:0C;Apple
84:A1:34;Apple
84:B1:53;Apple
84:FC:AC;Apple
84:FC:FE;Apple
88:1F:A1;Apple
88:63:DF;Apple
88:66:A5;Apple
88:6B:6E;Apple
88:C6:63;Apple
88:CB:87;Apple
88:E8:7F;Apple
8C:00:6D;Apple
8C:29:37;Apple
8C:2D:AA;Apple
8C:58:77;Apple
8C:7B:9D;Apple
8C:7C:92;Apple
8C:8E:F2;Apple
8C:8F:E9;Apple
8C:FA:BA;Apple
90:3C:92;Apple
90:60:F1;Apple
90:84:0D;Apple
90:8D:6C;Apple
90:B0:ED;Apple
90:B2:1F;Apple
90:B9:31;Apple
90:C1:C6;Apple
90:FD:61;Apple
94:E9:6A;Apple
94:F6:A3;Apple
98:01:A7;Apple
98:03:D8;Apple
98:5A:EB;Apple
98:B8:E3;Apple
98:D6:BB;Apple
98:E0:D9;Apple
98:F0:AB;Apple
98:FE:94;Apple
9C:04:EB;Apple
9C:20:7B;Apple
9C:29:3F;Apple
9C:35:EB;Apple
9C:4F:DA;Apple
9C:84:BF;Apple
9C:8B:A0;Apple
9C:F3:87;Apple
9C:F4:8E;Apple
9C:FC:01;Apple
A0:18:28;Apple
A0:3B:E3;Apple
A0:99:9B;Apple
A0:D7:95;Apple
A0:ED:CD;Apple
A4:31:35;Apple
A4:5E:60;Apple
A4:67:06;Apple
A4:B1:97;Apple
A4:B8:05;Apple
A4:C3:61;Apple
A4:D1:8C;Apple
A4:D1:D2;Apple
A4:F1:E8;Apple
A8:20:66;Apple
A8:5B:78;Apple
A8:60:B6;Apple
A8:66:7F;Apple
A8:86:DD;Apple
A8:88:08;Apple
A8:8E:24;Apple
A8:96:8A;Apple
A8:BB:CF;Apple
A8:FA:D8;Apple
AC:29:3A;Apple
AC:3C:0B;Apple
AC:61:EA;Apple
AC:7F:3E;Apple
AC:87:A3;Apple
AC:BC:32;Apple
AC:CF:5C;Apple
AC:FD:EC;Apple
B0:34:95;Apple
B0:48:1A;Apple
B0:65:BD;Apple
B0:70:2D;Apple
B0:9F:BA;Apple
B4:18:D1;Apple
B4:4B:D2;Apple
B4:8B:19;Apple
B4:9C:DF;Apple
B4:F0:AB;Apple
B8:09:8A;Apple
B8:17:C2;Apple
B8:44:D9;Apple
B8:53:AC;Apple
B8:78:2E;Apple
B8:8D:12;Apple
B8:C7:5D;Apple
B8:E8:56;Apple
B8:F6:B1;Apple
B8:FF:61;Apple
BC:3B:AF;Apple
BC:4C:C4;Apple
BC:52:B7;Apple
BC:54:36;Apple
BC:67:78;Apple
BC:6C:21;Apple
BC:92:6B;Apple
BC:9F:EF;Apple
BC:A9:20;Apple
BC:EC:5D;Apple
C0:1A:DA;Apple
C0:63:94;Apple
C0:84:7A;Apple
C0:9F:42;Apple
C0:CC:F8;Apple
C0:CE:CD;Apple
C0:D0:12;Apple
C0:F2:FB;Apple
C4:2C:03;Apple
C4:B3:01;Apple
C8:1E:E7;Apple
C8:2A:14;Apple
C8:33:4B;Apple
C8:69:CD;Apple
C8:6F:1D;Apple
C8:85:50;Apple
C8:B5:B7;Apple
C8:BC:C8;Apple
C8:E0:EB;Apple
C8:F6:50;Apple
CC:08:8D;Apple
CC:08:E0;Apple
CC:20:E8;Apple
CC:25:EF;Apple
CC:29:F5;Apple
CC:44:63;Apple
CC:78:5F;Apple
CC:C7:60;Apple
D0:03:4B;Apple
D0:23:DB;Apple
D0:25:98;Apple
D0:33:11;Apple
D0:4F:7E;Apple
D0:A6:37;Apple
D0:C5:F3;Apple
D0:E1:40;Apple
D4:61:9D;Apple
D4:9A:20;Apple
D4:DC:CD;Apple
D4:F4:6F;Apple
D8:00:4D;Apple
D8:1D:72;Apple
D8:30:62;Apple
D8:96:95;Apple
D8:9E:3F;Apple
D8:A2:5E;Apple
D8:BB:2C;Apple
D8:CF:9C;Apple
D8:D1:CB;Apple
DC:0C:5C;Apple
DC:2B:2A;Apple
DC:2B:61;Apple
DC:37:14;Apple
DC:41:5F;Apple
DC:86:D8;Apple
DC:9B:9C;Apple
DC:A4:CA;Apple
DC:A9:04;Apple
E0:5F:45;Apple
E0:66:78;Apple
E0:AC:CB;Apple
E0:B5:2D;Apple
E0:B9:BA;Apple
E0:C7:67;Apple
E0:C9:7A;Apple
E0:F5:C6;Apple
E0:F8:47;Apple
E4:25:E7;Apple
E4:8B:7F;Apple
E4:98:D6;Apple
E4:9A:79;Apple
E4:C6:3D;Apple
E4:CE:8F;Apple
E4:E4:AB;Apple
E8:04:0B;Apple
E8:06:88;Apple
E8:80:2E;Apple
E8:8D:28;Apple
E8:B2:AC;Apple
EC:35:86;Apple
EC:85:2F;Apple
EC:AD:B8;Apple
F0:24:75;Apple
F0:79:60;Apple
F0:99:BF;Apple
F0:B0:E7;Apple
F0:B4:79;Apple
F0:C1:F1;Apple
F0:CB:A1;Apple
F0:D1:A9;Apple
F0:DB:E2;Apple
F0:DB:F8;Apple
F0:DC:E2;Apple
F0:F6:1C;Apple
F4:0F:24;Apple
F4:1B:A1;Apple
F4:31:C3;Apple
F4:37:B7;Apple
F4:5C:89;Apple
F4:F1:5A;Apple
F4:F9:51;Apple
F8:03:77;Apple
F8:1E:DF;Apple
F8:27:93;Apple
F8:62:14;Apple
FC:25:3F;Apple
FC:D8:48;Apple
FC:E9:98;Apple
FC:FC:48;Apple
40:98:AD;Apple
00:22:A1;Huawei
00:25:9E;Huawei
00:34:FE;Huawei
00:46:4B;Huawei
00:5A:13;Huawei
00:66:4B;Huawei
00:9A:CD;Huawei
00:E0:FC;Huawei
00:F8:1C;Huawei
04:02:1F;Huawei
04:25:C5;Huawei
04:9F:CA;Huawei
04:B0:E7;Huawei
04:BD:70;Huawei
04:C0:6F;Huawei
04:F9:38;Huawei
04:FE:8D;Huawei
08:19:A6;Huawei
08:63:61;Huawei
08:7A:4C;Huawei
08:C0:21;Huawei
08:E8:4F;Huawei
0C:37:DC;Huawei
0C:45:BA;Huawei
0C:96:BF;Huawei
0C:D6:BD;Huawei
10:1B:54;Huawei
10:B1:F8;Huawei
10:C6:1F;Huawei
14:5F:94;Huawei
14:9D:09;Huawei
14:A0:F8;Huawei
14:A5:1A;Huawei
14:B9:68;Huawei
14:D1:1F;Huawei
18:C5:8A;Huawei
18:D2:76;Huawei
18:DE:D7;Huawei
1C:1D:67;Huawei
1C:67:58;Huawei
1C:8E:5C;Huawei
20:08:ED;Huawei
20:0B:C7;Huawei
20:2B:C1;Huawei
20:3D:B2;Huawei
20:A6:80;Huawei
20:F1:7C;Huawei
20:F3:A3;Huawei
24:00:BA;Huawei
24:1F:A0;Huawei
24:4C:07;Huawei
24:69:A5;Huawei
24:7F:3C;Huawei
24:9E:AB;Huawei
24:BC:F8;Huawei
24:DB:AC;Huawei
24:DF:6A;Huawei
28:3C:E4;Huawei
28:5F:DB;Huawei
28:6E:D4;Huawei
28:A6:DB;Huawei
28:B4:48;Huawei
2C:55:D3;Huawei
2C:9D:1E;Huawei
2C:AB:00;Huawei
2C:CF:58;Huawei
30:D1:7E;Huawei
30:F3:35;Huawei
34:00:A3;Huawei
34:1E:6B;Huawei
34:6A:C2;Huawei
34:6B:D3;Huawei
34:A2:A2;Huawei
34:B3:54;Huawei
34:CD:BE;Huawei
38:4C:4F;Huawei
38:BC:01;Huawei
38:F8:89;Huawei
3C:47:11;Huawei
3C:67:8C;Huawei
3C:DF:BD;Huawei
3C:F8:08;Huawei
3C:FA:43;Huawei
40:4D:8E;Huawei
40:7D:0F;Huawei
40:CB:A8;Huawei
44:55:B1;Huawei
44:6A:2E;Huawei
44:6E:E5;Huawei
44:C3:46;Huawei
48:3C:0C;Huawei
48:43:5A;Huawei
48:46:FB;Huawei
48:7B:6B;Huawei
48:AD:08;Huawei
48:D5:39;Huawei
48:DB:50;Huawei
48:FD:8E;Huawei
4C:1F:CC;Huawei
4C:54:99;Huawei
4C:8B:EF;Huawei
4C:B1:6C;Huawei
4C:F9:5D;Huawei
4C:FB:45;Huawei
50:01:6B;Huawei
50:01:D9;Huawei
50:04:B8;Huawei
50:68:0A;Huawei
50:9F:27;Huawei
50:A7:2B;Huawei
54:25:EA;Huawei
54:39:DF;Huawei
54:51:1B;Huawei
54:A5:1B;Huawei
58:1F:28;Huawei
58:2A:F7;Huawei
58:60:5F;Huawei
58:7F:66;Huawei
5C:4C:A9;Huawei
5C:7D:5E;Huawei
5C:A8:6A;Huawei
5C:B3:95;Huawei
5C:B4:3E;Huawei
5C:F9:6A;Huawei
60:DE:44;Huawei
60:E7:01;Huawei
64:16:F0;Huawei
64:3E:8C;Huawei
64:A6:51;Huawei
68:89:C1;Huawei
68:8F:84;Huawei
68:A0:F6;Huawei
68:A8:28;Huawei
68:CC:6E;Huawei
70:54:F5;Huawei
70:72:3C;Huawei
70:7B:E8;Huawei
70:8A:09;Huawei
70:A8:E3;Huawei
74:5A:AA;Huawei
74:88:2A;Huawei
74:9D:8F;Huawei
74:A0:63;Huawei
74:A5:28;Huawei
78:1D:BA;Huawei
78:6A:89;Huawei
78:D7:52;Huawei
78:F5:57;Huawei
78:F5:FD;Huawei
7C:11:CB;Huawei
7C:1C:F1;Huawei
7C:60:97;Huawei
7C:7D:3D;Huawei
7C:A2:3E;Huawei
7C:B1:5D;Huawei
80:38:BC;Huawei
80:71:7A;Huawei
80:B6:86;Huawei
80:D0:9B;Huawei
80:D4:A5;Huawei
80:FB:06;Huawei
84:21:F1;Huawei
84:5B:12;Huawei
84:9F:B5;Huawei
84:A8:E4;Huawei
84:A9:C4;Huawei
84:AD:58;Huawei
84:BE:52;Huawei
84:DB:AC;Huawei
88:28:B3;Huawei
88:3F:D3;Huawei
88:53:D4;Huawei
88:A2:D7;Huawei
88:CE:FA;Huawei
88:CF:98;Huawei
88:E3:AB;Huawei
8C:0D:76;Huawei
8C:34:FD;Huawei
8C:EB:C6;Huawei
90:17:AC;Huawei
90:4E:2B;Huawei
90:67:1C;Huawei
94:04:9C;Huawei
94:77:2B;Huawei
94:DB:DA;Huawei
94:FE:22;Huawei
98:E7:F5;Huawei
9C:28:EF;Huawei
9C:37:F4;Huawei
9C:52:F8;Huawei
9C:74:1A;Huawei
9C:7D:A3;Huawei
9C:B2:B2;Huawei
9C:C1:72;Huawei
9C:E3:74;Huawei
A0:08:6F;Huawei
A0:8C:F8;Huawei
A0:8D:16;Huawei
A0:A3:3B;Huawei
A0:F4:79;Huawei
A4:71:74;Huawei
A4:99:47;Huawei
A4:BA:76;Huawei
A4:C6:4F;Huawei
A4:CA:A0;Huawei
A4:DC:BE;Huawei
A8:C8:3A;Huawei
A8:CA:7B;Huawei
AC:4E:91;Huawei
AC:61:75;Huawei
AC:85:3D;Huawei
AC:CF:85;Huawei
AC:E2:15;Huawei
AC:E8:7B;Huawei
B0:5B:67;Huawei
B0:89:00;Huawei
B0:E5:ED;Huawei
B4:15:13;Huawei
B4:30:52;Huawei
B8:08:D7;Huawei
B8:BC:1B;Huawei
BC:25:E0;Huawei
BC:3F:8F;Huawei
BC:62:0E;Huawei
BC:75:74;Huawei
BC:76:70;Huawei
BC:9C:31;Huawei
C0:70:09;Huawei
C0:BF:C0;Huawei
C4:05:28;Huawei
C4:07:2F;Huawei
C4:47:3F;Huawei
C4:86:E9;Huawei
C4:F0:81;Huawei
C4:FF:1F;Huawei
C8:0C:C8;Huawei
C8:14:51;Huawei
C8:1F:BE;Huawei
C8:51:95;Huawei
C8:8D:83;Huawei
C8:94:BB;Huawei
C8:D1:5E;Huawei
CC:53:B5;Huawei
CC:96:A0;Huawei
CC:A2:23;Huawei
CC:CC:81;Huawei
D0:2D:B3;Huawei
D0:3E:5C;Huawei
D0:65:CA;Huawei
D0:6F:82;Huawei
D0:7A:B5;Huawei
D0:D0:4B;Huawei
D0:FF:98;Huawei
D4:40:F0;Huawei
D4:61:2E;Huawei
D4:6A:A8;Huawei
D4:6E:5C;Huawei
D4:94:E8;Huawei
D4:A1:48;Huawei
D4:B1:10;Huawei
D4:F9:A1;Huawei
D8:49:0B;Huawei
D8:C7:71;Huawei
DC:09:4C;Huawei
DC:C6:4B;Huawei
DC:D2:FC;Huawei
DC:D9:16;Huawei
DC:EE:06;Huawei
E0:19:1D;Huawei
E0:24:7F;Huawei
E0:28:61;Huawei
E0:36:76;Huawei
E0:97:96;Huawei
E0:A3:AC;Huawei
E4:35:C8;Huawei
E4:68:A3;Huawei
E4:7E:66;Huawei
E4:A8:B6;Huawei
E4:C2:D1;Huawei
E8:08:8B;Huawei
E8:4D:D0;Huawei
E8:BD:D1;Huawei
E8:CD:2D;Huawei
EC:23:3D;Huawei
EC:38:8F;Huawei
EC:4D:47;Huawei
EC:CB:30;Huawei
F0:2F:A7;Huawei
F0:43:47;Huawei
F0:98:38;Huawei
F0:C8:50;Huawei
F4:4C:7F;Huawei
F4:55:9C;Huawei
F4:8E:92;Huawei
F4:9F:F3;Huawei
F4:C7:14;Huawei
F4:CB:52;Huawei
F4:DC:F9;Huawei
F4:E3:FB;Huawei
F8:01:13;Huawei
F8:23:B2;Huawei
F8:3D:FF;Huawei
F8:4A:BF;Huawei
F8:75:88;Huawei
F8:98:B9;Huawei
F8:BF:09;Huawei
F8:E8:11;Huawei
FC:3F:7C;Huawei
FC:48:EF;Huawei
FC:E3:3C;Huawei
0C:70:4A;Huawei
00:05:C9;LG
00:19:A1;LG
00:1C:62;LG
00:1E:B2;LG
00:1F:6B;LG
00:1F:E3;LG
00:21:FB;LG
00:22:A9;LG
00:34:DA;LG
00:50:CE;LG
00:AA:70;LG
01:E+:75;LG
0C:48:85;LG
10:68:3F;LG
10:F9:6F;LG
14:C9:13;LG
1C:08:C1;LG
20:21:A5;LG
2C:54:CF;LG
2C:59:8A;LG
30:76:6F;LG
30:A9:DE;LG
34:4D:F7;LG
34:FC:EF;LG
38:8C:50;LG
3C:BD:D8;LG
3C:CD:93;LG
3C:E6:24;LG
40:B0:FA;LG
58:3F:54;LG
58:A2:B5;LG
5C:70:A3;LG
5C:AF:06;LG
60:E3:AC;LG
64:89:9A;LG
64:BC:0C;LG
